filename,id,date,host,short_title,title,date_short
doc_522836.txt,10690,2017-04-24,www.express.co.uk,Nigel Farage raving ,Nigel Farage raving lunatic Guy Verhofstadt fake news Brexit,2017-04
doc_441773.txt,10691,2017-07-05,www.theguardian.com,the guardian view on,the guardian view on public sector pay hammond stares into the abyss,2017-07
doc_485359.txt,10692,2017-06-28,sluggerotoole.com,,,2017-06
doc_166357.txt,10693,2017-04-25,,Brexit latest   Dami,Brexit latest   Damian Green hammers Jeremy Corbyn over Labour farce | UK | News | Express.co.uk,2017-04
doc_35352.txt,10694,2017-03-31,www.newstimes.com,The Latest Tusk says,The Latest Tusk says EU rules out parallel talks 11040623.php,2017-03
doc_267779.txt,10695,2017-06-30,www.express.co.uk.,Brexit news former U,Brexit news former UK diplomat Britain can negotiate EU own terms Juncker,2017-06
doc_783344.txt,10696,2017-04-04,www.independent.co.uk,spain gibraltar brex,spain gibraltar brexit article 50 eu british empire colonisation a7662661.html,2017-04
doc_617148.txt,10697,2017-04-03,independent.co.uk,spain gibraltar brex,spain gibraltar brexit article 50 eu british empire colonisation a7662661.html,2017-04
doc_536615.txt,10698,2017-03-09,www.conservativewoman.co.uk,,,2017-03
doc_598359.txt,10699,2017-02-24,www.theguardian.com,labour tories copela,labour tories copeland ukip challenge stoke,2017-02
doc_709489.txt,10700,2017-03-01,, who runs the highly, who runs the highlyrespected polling website What Scotland Thinks,2017-03
doc_762528.txt,10701,2017-03-05,www.express.co.uk,house of lords refor,house of lords reform baroness betty boothroyd attacks medieval trappings,2017-03
doc_330679.txt,10702,2017-04-23,www.express.co.uk,General Election 201,General Election 2017 Theresa May win Labour UKIP ComRes Conservative Thatcher record,2017-04
doc_670086.txt,10703,2017-03-10,www.express.co.uk,Peter Bone slams Lab,Peter Bone slams Labour MP Heidi Alexander 52 billion EU divorce bill,2017-03
doc_118001.txt,10704,2017-05-30,clashdaily.com,,,2017-05
doc_746893.txt,10705,2017-04-05,vancouversun.com,daphne bramham will ,daphne bramham will big data steer you to decide b c election outcome,2017-04
doc_186728.txt,10706,2017-06-09,moneyweek.com,,,2017-06
doc_597332.txt,10707,2017-02-24,www.washingtonpost.com,8ac10bfc fa0f 11e6 9,8ac10bfc fa0f 11e6 9845 576c69081518_story.html,2017-02
doc_289590.txt,10708,2017-07-28,www.independent.co.uk,brexit list uk expat,brexit list uk expats europe amber rudd home office funding whitehall theresa may a7864381.html,2017-07
doc_517403.txt,10709,2017-04-24,finance.yahoo.com,shock french people ,shock french people vote expected 175756187.html,2017-04
doc_349621.txt,10710,2017-03-16,www.talkandroid.com,,,2017-03
doc_34377.txt,10711,2017-03-31,uk.weather.yahoo.com,brexiteer im anxious,brexiteer im anxious whats come 110819679.html,2017-03
doc_392497.txt,10712,2017-07-31,www.express.co.uk,brexit trumped labou,brexit trumped labour reruns eu referendum sadiq khan jeremy corbyn london mayor,2017-07
doc_727981.txt,10713,2017-08-05,www.dailymail.co.uk,DOMINIC SANDBROOK En,DOMINIC SANDBROOK English winning life s lottery.html,2017-08
doc_595724.txt,10714,2017-02-24,www.msn.com:80,ar AAnjUKp,ar AAnjUKp,2017-02
doc_832584.txt,10715,2017-07-21,www.theguardian.com,banks and companies ,banks and companies plan expansion in frankfurt after brexit,2017-07
doc_326157.txt,10716,2017-07-06,a.msn.com,BBDKhhd,BBDKhhd,2017-07
doc_210438.txt,10717,2017-07-22,www.hitc.com,www.hitc.com,www.hitc.com,2017-07
doc_243826.txt,10718,2017-04-18,www.nme.com,june general electio,june general election can opportunity not disaster 2054263,2017-04
doc_468438.txt,10719,2017-03-08,www.express.co.uk.,Brexit billboards Br,Brexit billboards Britain hate crime price hike European Union,2017-03
doc_488079.txt,10720,2017-06-28,www.theguardian.com,eu citizen uk theres,eu citizen uk theresa may offer limbo status id cards,2017-06
doc_557292.txt,10721,2017-04-21,sc.www.buzzfeed.com.ydm0.rg.gy,science march uk,science march uk,2017-04
doc_403470.txt,10722,2017-06-06,www.theunshackled.net,,,2017-06
doc_831403.txt,10723,2017-07-21,www.theguardian.com,the guardian view on,the guardian view on the supreme court good for lady hale and for us all,2017-07
doc_304261.txt,10724,2017-02-25,www.msn.com,ar AAnm1Li,ar AAnm1Li,2017-02
doc_651713.txt,10725,2017-03-07,uk.weather.yahoo.com,man charged sending ,man charged sending racially aggravated 175952960.html,2017-03
doc_608661.txt,10726,2017-03-04,gatestone.eu,,,2017-03
doc_139748.txt,10727,2017-05-31,www.cityam.com,uk could teach euroz,uk could teach eurozone thing two successful monetary,2017-05
doc_344281.txt,10728,2017-05-09,, Britain's tax reven," Britain's tax revenues could be hit if it loses rich taxpayers working in financial services.""",2017-05
doc_122855.txt,10729,2017-05-30,thisismoney.co.uk,Jeremy Corbyn google,Jeremy Corbyn google childcare policy.html,2017-05
doc_162544.txt,10730,2017-07-14,www.irishtimes.com,macron s idealism is,macron s idealism is a worthy model for irish politics 1.3153423,2017-07
doc_120523.txt,10731,2017-05-30,www.express.co.uk,Brexit news Grayson ,Brexit news Grayson Perry shuts down Remoaners rational argument claim,2017-05
doc_69956.txt,10732,2017-03-18,www.breitbart.com,,,2017-03
doc_372225.txt,10733,2017-06-13,sluggerotoole.com,,,2017-06
doc_785340.txt,10734,2017-02-20,uk.weather.yahoo.com,whitehall deeply dis,whitehall deeply disturbed russias role 003201398.html,2017-02
doc_84729.txt,10735,2017-05-01,,Brexit news   EU Com,Brexit news   EU Commission unveils detailed negotiating strategy | Politics | News | Express.co.uk,2017-05
doc_223869.txt,10736,2017-04-09,www.express.co.uk,Theresa May fitness ,Theresa May fitness regime workout gym personal trainer health diabetes,2017-04
doc_831844.txt,10737,2017-07-21,www.express.co.uk,Brexit news Portugue,Brexit news Portuguese MEP Britons betrayed voting leave EU latest Michel Barnier video UK,2017-07
doc_517913.txt,10738,2017-04-24,www.express.co.uk,Jeremy Corbyn Brexit,Jeremy Corbyn Brexit panders to Scottish workers to avoid Labour wipe out EU Brussels,2017-04
doc_650824.txt,10739,2017-03-07,www.premier.org.uk,743083,743083,2017-03
doc_318878.txt,10740,2017-03-15,www.express.co.uk.,nicola sturgeon ther,nicola sturgeon theresa may scottish referendum twitter elected,2017-03
doc_494549.txt,10741,2017-03-23,uk.weather.yahoo.com,eus chief negotiator,eus chief negotiator sets three 150038970.html,2017-03
doc_634450.txt,10742,2017-07-03,www.theguardian.com,corbyn is now secure,corbyn is now secure as leader says tom watson,2017-07
doc_609581.txt,10743,2017-03-04,www.express.co.uk,Oliver Letwin admits,Oliver Letwin admits UK paying more European Union after Brexit,2017-03
doc_237447.txt,10744,2017-06-02,www.express.co.uk,Italian MP rages at ,Italian MP rages at United Kingdom for unacceptable Brexit news stance,2017-06
doc_547062.txt,10745,2017-04-14,www.theguardian.com,boris johnson toothl,boris johnson toothless theresa may,2017-04
doc_640160.txt,10746,2017-05-22,,Green party co leade,Green party co leader mocked for pitching second Brexit referendum | UK | News | Express.co.uk,2017-05
doc_504283.txt,10747,2017-03-23,sports.yahoo.com,the weapons north ko,the weapons north korea claims it has in its military arsenal 135835189.html,2017-03
doc_488234.txt,10748,2017-06-28,www.express.co.uk,Brexit Germany Wolfg,Brexit Germany Wolfgang Schaeuble UK mistake,2017-06
doc_57309.txt,10749,2017-05-11,,Labour has produced ,Labour has produced a fantasy land blueprint for a socialist Britain,2017-05
doc_504775.txt,10750,2017-03-23,finance.yahoo.com,just wiped more 80 b,just wiped more 80 billion 234044691.html,2017-03
doc_356094.txt,10751,2017-03-16,www.dutchnews.nl,,,2017-03
doc_136362.txt,10752,2017-04-07,www.express.co.uk.,Michael Caine Brexit,Michael Caine Brexit freedom UK leave European Union Twitter trolls,2017-04
doc_321978.txt,10753,2017-03-15,www.express.co.uk,Dutch election 2017 ,Dutch election 2017 Geert Wilders green party Jesse Klaver Barack Obama style campaign,2017-03
doc_42528.txt,10754,2017-07-29,www.independent.co.uk,vince cable brexit e,vince cable brexit eu immigration theresa may overseas students damage a7862541.html,2017-07
doc_633330.txt,10755,2017-07-03,www.express.co.uk.,Brexit Theresa May j,Brexit Theresa May jeremy corbyn Stella Creasy Labour party Question Time bbc news,2017-07
doc_41826.txt,10756,2017-03-31,metro.co.uk,,,2017-03
